group,tier,source,field_count,fields,php_class
background,free,elementor-core,35,background|gradient_notice|color|color_stop|color_b|color_b_stop|gradient_type|gradient_angle|gradient_position|image|position|xpos|ypos|attachment|attachment_alert|repeat|size|bg_width|video_link|video_start|video_end|play_once|play_on_mobile|privacy_mode|video_fallback|slideshow_gallery|slideshow_loop|slideshow_slide_duration|slideshow_slide_transition|slideshow_transition_duration|slideshow_background_size|slideshow_background_position|slideshow_lazyload|slideshow_ken_burns|slideshow_ken_burns_zoom_direction,Elementor\Group_Control_Background
border,free,elementor-core,3,border|width|color,Elementor\Group_Control_Border
box-shadow,free,elementor-core,2,box_shadow|box_shadow_position,Elementor\Group_Control_Box_Shadow
css-filter,free,elementor-core,5,blur|brightness|contrast|saturate|hue,Elementor\Group_Control_Css_Filter
flex-container,free,elementor-core,9,items|direction|_is_row|_is_column|justify_content|align_items|gap|wrap|align_content,Elementor\Group_Control_Flex_Container
flex-item,free,elementor-core,8,basis_type|basis|align_self|order|order_custom|size|grow|shrink,Elementor\Group_Control_Flex_Item
grid-container,free,elementor-core,12,items_grid|outline|columns_grid|rows_grid|gaps|auto_flow|justify_items|align_items|justify_content|align_content|_is_row|_is_column,Elementor\Group_Control_Grid_Container
image-size,free,elementor-core,2,size|custom_dimension,Elementor\Group_Control_Image_Size
motion_fx,pro,elementor-pro,36,motion_fx_scrolling|translateY_effect|translateY_direction|translateY_speed|translateY_affectedRange|translateX_effect|translateX_direction|translateX_speed|translateX_affectedRange|opacity_effect|opacity_direction|opacity_level|opacity_range|blur_effect|blur_direction|blur_level|blur_range|rotateZ_effect|rotateZ_direction|rotateZ_speed|rotateZ_affectedRange|scale_effect|scale_direction|scale_speed|scale_range|transform_origin_x|transform_origin_y|devices|range|motion_fx_mouse|mouseTrack_effect|mouseTrack_direction|mouseTrack_speed|tilt_effect|tilt_direction|tilt_speed,ElementorPro\Modules\MotionFX\Controls_Group
posts,pro,elementor-pro,3,post_type|posts_ids|authors,ElementorPro\Modules\QueryControl\Controls\Group_Control_Posts
query-group,pro,elementor-pro,22,post_type|query_args|query_include|posts_ids|include|include_term_ids|include_authors|query_exclude|exclude|exclude_ids|exclude_term_ids|exclude_authors|avoid_duplicates|offset|select_date|date_before|date_after|orderby|order|posts_per_page|ignore_sticky_posts|query_id,ElementorPro\Modules\QueryControl\Controls\Group_Control_Query
related-query,pro,elementor-pro,22,post_type|query_args|query_include|posts_ids|include|include_term_ids|include_authors|query_exclude|exclude|exclude_ids|exclude_term_ids|exclude_authors|avoid_duplicates|offset|select_date|date_before|date_after|orderby|order|posts_per_page|ignore_sticky_posts|query_id,ElementorPro\Modules\QueryControl\Controls\Group_Control_Related
taxonomy-query,pro,elementor-pro,22,post_type|query_args|query_include|posts_ids|include|include_term_ids|include_authors|query_exclude|exclude|exclude_ids|exclude_term_ids|exclude_authors|avoid_duplicates|offset|select_date|date_before|date_after|orderby|order|posts_per_page|ignore_sticky_posts|query_id,ElementorPro\Modules\QueryControl\Controls\Group_Control_Taxonomy
text-shadow,free,elementor-core,1,text_shadow,Elementor\Group_Control_Text_Shadow
text-stroke,free,elementor-core,2,text_stroke|stroke_color,Elementor\Group_Control_Text_Stroke
typography,free,elementor-core,9,font_family|font_size|font_weight|text_transform|font_style|text_decoration|line_height|letter_spacing|word_spacing,Elementor\Group_Control_Typography
